name,category,group,satisfied_with_area,local_govt_responsive,police_approval,suitable_employment,good_to_raise_kids,good_cond_of_parks,influence_over_local_govt,access_to_car,evicted,received_evict_notice,locations_in_walking_dist,safe_sidewalks,safe_biking,rec_facilities_avail,trust_neighbors,youth_have_role_models,neighbors_improving_area,safe_walking_at_night,would_save_fire_station,youth_likely_graduate_hs,youth_likely_job_w_opportunity,youth_likely_in_gang,youth_likely_abuse_drugs_alc,youth_likely_felony,very_good_self_rate_health,life_satisfaction,happy,anxious,diabetes,have_health_insurance,didnt_get_med_care,postponed_med_care,couldnt_afford_rx,altered_rx,asthma,no_medical_home,visited_er,dental_visit_past_yr,receive_emotional_support,depression,smoking,heavy_drinking,know_someone_abusing_opioids,know_someone_died_opioids,financial_insecurity,less_than_2mo_savings,negative_net_worth,underemployment,no_bank_account,food_insecurity,housing_insecurity,utility_insecurity,discrim_in_workplace,discrim_by_police,discrim_getting_service,discrim_in_housing,discrim_in_healthcare
Fairfield County,Income,<$15K,0.72,0.39,0.58,0.38,0.57,0.63,0.65,0.6,,,0.74,0.7,0.55,0.59,0.69,0.59,0.69,0.45,,0.75,0.45,0.25,0.33,0.24,0.36,0.45,0.54,0.23,0.19,0.86,0.19,0.26,0.17,,0.15,0.19,0.38,0.59,0.44,0.24,0.21,0.04,0.25,0.18,0.66,0.6,0.32,0.63,0.32,0.37,0.17,0.23,0.37,0.12,,0.09,0.21
Fairfield County,Income,$15K-$30K,0.73,0.42,0.61,0.36,0.56,0.62,0.62,0.72,,,0.7,0.72,0.59,0.59,0.74,0.65,0.66,0.53,,0.78,0.46,0.2,0.41,0.25,0.45,0.45,0.53,0.19,0.14,0.85,0.15,0.27,0.14,0.1,0.1,0.19,0.38,0.62,0.52,0.21,0.23,0.08,0.28,0.16,0.6,0.61,0.32,0.39,0.18,0.29,0.13,0.2,0.38,0.19,,0.08,0.13
Fairfield County,Income,$30K-$50K,0.81,0.45,0.72,0.45,0.65,0.71,0.66,0.88,,,0.69,0.7,0.51,0.66,0.78,0.71,0.73,0.6,,0.84,0.65,0.18,0.3,0.17,0.54,0.62,0.66,0.14,0.1,0.91,0.12,0.29,0.09,,0.08,0.2,0.26,0.67,0.66,0.12,0.2,0.06,0.27,0.19,0.46,0.37,0.18,0.2,0.08,0.19,0.08,0.1,0.29,0.12,,0.07,0.13
Fairfield County,Income,$50K-$75K,0.82,0.52,0.78,0.52,0.76,0.76,0.71,0.92,,,0.64,0.6,0.56,0.67,0.81,0.78,0.8,0.71,,0.9,0.58,0.09,0.19,0.11,0.63,0.63,0.68,0.13,0.09,0.94,0.1,0.21,0.09,0.05,0.09,0.18,0.24,0.7,0.67,0.09,0.1,0.06,0.19,0.21,0.37,0.34,0.16,0.15,0.08,0.12,0.08,0.13,0.27,0.09,,0.05,0.14
Fairfield County,Income,$75K-$100K,0.83,0.55,0.85,0.58,0.77,0.8,0.74,0.96,,,0.61,0.6,0.61,0.71,0.88,0.84,0.8,0.7,,0.9,0.69,0.08,0.25,0.09,0.68,0.73,0.74,0.1,0.07,0.97,0.08,0.23,0.07,0.06,0.07,0.11,0.21,0.82,0.74,0.05,0.1,0.03,0.3,0.24,0.24,0.33,0.09,0.08,0.06,0.07,0.04,0.08,0.23,0.08,,0.05,0.07
Fairfield County,Income,$100K-$200K,0.86,0.63,0.88,0.65,0.85,0.82,0.77,0.97,,,0.52,0.53,0.57,0.72,0.93,0.85,0.85,0.77,,0.94,0.71,0.03,0.23,0.03,0.73,0.75,0.75,0.09,0.05,0.98,0.07,0.24,0.06,0.02,0.08,0.1,0.17,0.83,0.77,0.03,0.08,0.05,0.3,0.24,0.18,0.18,0.05,0.05,0.02,0.05,0.05,0.06,0.32,0.08,,0.02,0.06
Fairfield County,Income,$200K+,0.9,0.61,0.93,0.74,0.89,0.88,0.8,0.99,,,0.38,0.44,0.59,0.73,0.97,0.93,0.88,0.85,,0.98,0.8,0.02,0.21,0.01,0.81,0.87,0.83,0.09,0.05,0.99,0.02,0.16,0.03,0.08,0.05,0.1,0.17,0.93,0.84,0.02,0.06,0.06,0.2,0.19,0.06,0.08,0.02,0.05,0.02,0.01,0.03,0.02,0.21,0.06,,0.01,0.03
Fairfield County,Race/Ethnicity,White,0.86,0.6,0.88,0.62,0.83,0.84,0.74,0.94,0.04,0,0.5,0.52,0.57,0.69,0.92,0.85,0.84,0.75,,0.94,0.69,0.05,0.22,0.05,0.68,0.72,0.72,0.11,0.08,0.97,0.07,0.21,0.07,,0.08,0.11,0.21,0.81,0.77,0.07,0.1,0.05,0.28,0.22,0.26,0.23,0.09,0.11,0.04,0.07,0.05,0.06,0.26,0.07,,0.02,0.07
Fairfield County,Race/Ethnicity,Black,0.73,0.35,0.53,0.33,0.49,0.57,0.7,0.75,0.08,0.03,0.75,0.77,0.53,0.65,0.67,0.6,0.74,0.56,,0.76,0.58,0.27,0.38,0.29,0.5,0.61,0.68,0.15,0.12,0.87,0.11,0.21,0.09,,0.1,0.17,0.32,0.63,0.65,0.14,0.19,0.05,0.16,0.09,0.47,0.4,0.22,0.26,0.19,0.24,0.13,0.21,0.31,0.2,,0.12,0.13
Fairfield County,Race/Ethnicity,Latino,0.8,0.51,0.7,0.47,0.63,0.67,0.71,0.8,0.13,0.04,0.71,0.69,0.54,0.68,0.71,0.66,0.69,0.58,,0.77,0.6,0.28,0.43,0.29,0.58,0.64,0.63,0.21,0.1,0.86,0.14,0.28,0.16,,0.14,0.2,0.35,0.71,0.62,0.13,0.14,0.05,0.23,0.19,0.39,0.48,0.24,0.2,0.19,0.25,0.11,0.21,0.26,0.16,,0.08,0.13
Fairfield County,With children,No children in household,0.82,0.55,0.81,0.54,0.76,0.79,0.71,0.88,0.04,0.02,0.56,0.59,0.56,0.66,0.87,0.79,0.79,0.69,0.85,0.9,0.62,0.08,0.27,0.11,0.6,0.69,0.71,0.12,0.1,0.95,0.09,0.21,0.07,0.04,0.09,0.12,0.23,0.76,0.72,0.08,0.12,0.05,0.26,0.22,0.28,0.26,0.11,0.16,0.08,0.09,0.06,0.08,0.28,0.09,0.05,0.05,0.09
Fairfield County,With children,Children in household,0.86,0.57,0.8,0.58,0.79,0.78,0.75,0.9,0.11,0.01,0.6,0.57,0.57,0.71,0.86,0.81,0.81,0.71,0.85,0.91,0.7,0.11,0.23,0.1,0.68,0.7,0.71,0.11,0.06,0.94,0.09,0.24,0.08,0.07,0.09,0.14,0.25,0.78,0.7,0.09,0.11,0.05,0.22,0.15,0.33,0.34,0.17,0.13,0.1,0.14,0.07,0.12,0.28,0.1,0.11,0.04,0.09
Greater Hartford,Connecticut,Connecticut,0.82,0.51,0.78,0.5,0.75,0.75,0.72,0.88,0.07,0.02,0.54,0.61,0.63,0.7,0.85,0.78,0.77,0.7,0.84,0.88,0.59,0.08,0.29,0.11,0.59,0.67,0.7,0.12,0.1,0.95,0.09,0.23,0.09,0.07,0.11,0.12,0.26,0.74,0.71,0.09,0.14,0.06,0.31,0.24,0.33,0.33,0.17,0.15,0.09,0.13,0.08,0.1,0.27,0.11,0.1,0.04,0.1
Greater Hartford,Total,Total,0.82,0.52,0.8,0.54,0.75,0.77,0.72,0.88,0.07,0,0.57,0.68,0.73,0.76,0.86,0.78,0.79,0.71,0.83,0.87,0.6,0.08,0.27,0.13,0.59,0.65,0.7,0.13,0.11,0.96,0.09,0.23,0.09,0.07,0.11,0.12,0.28,0.76,0.71,0.11,0.12,0.06,0.31,0.24,0.33,0.34,0.17,0.15,0.09,0.14,0.08,0.12,0.27,0.13,0.13,0.03,0.11
Greater Hartford,Gender,Male,0.8,0.51,0.8,0.54,0.76,0.75,0.72,0.89,0.07,0,0.57,0.68,0.76,0.78,0.86,0.79,0.8,0.78,0.8,0.86,0.64,0.08,0.3,0.12,0.62,0.67,0.69,0.12,0.12,0.94,0.09,0.19,0.07,0.08,0.08,0.13,0.27,0.74,0.7,0.08,0.14,0.06,0.31,0.25,0.27,0.28,0.14,0.14,0.08,0.11,0.07,0.09,0.27,0.17,0.15,0.04,0.08
Greater Hartford,Gender,Female,0.83,0.53,0.8,0.53,0.74,0.77,0.71,0.88,0.07,0.01,0.56,0.67,0.7,0.75,0.85,0.78,0.76,0.66,0.86,0.86,0.58,0.08,0.25,0.11,0.56,0.63,0.69,0.13,0.1,0.97,0.09,0.27,0.11,0.06,0.13,0.09,0.28,0.76,0.71,0.12,0.11,0.05,0.3,0.23,0.37,0.4,0.2,0.14,0.1,0.16,0.08,0.14,0.26,0.09,0.12,0.02,0.13
Greater Hartford,Age,Ages 18-34,0.81,0.48,0.73,0.51,0.68,0.71,0.73,0.82,0.07,0,0.67,0.72,0.72,0.77,0.79,0.72,0.72,0.7,,0.8,0.58,0.12,0.34,0.16,0.65,0.57,0.62,0.19,0.04,0.94,0.12,0.3,0.13,0.1,0.15,0.21,0.33,0.69,0.64,0.16,0.14,0.07,0.32,0.28,0.43,0.48,0.26,0.23,0.13,0.22,0.11,0.17,0.24,0.14,,0.04,0.13
Greater Hartford,Age,Ages 35-49,0.79,0.46,0.77,0.52,0.72,0.72,0.69,0.9,0.08,0,0.57,0.7,0.72,0.77,0.85,0.75,0.76,0.71,,0.86,0.63,0.07,0.25,0.12,0.59,0.63,0.67,0.09,0.07,0.95,0.12,0.28,0.09,0.05,0.14,0.13,0.3,0.73,0.68,0.11,0.16,0.1,0.34,0.23,0.37,0.41,0.18,0.08,0.09,0.17,0.08,0.2,0.28,0.18,,0.04,0.14
Greater Hartford,Age,Ages 50-64,0.82,0.53,0.83,0.54,0.77,0.79,0.71,0.92,,,0.51,0.64,0.75,0.74,0.9,0.84,0.81,0.76,,0.9,0.59,0.06,0.24,0.1,0.57,0.67,0.71,0.09,0.13,0.95,0.08,0.23,0.1,0.09,0.07,0.07,0.23,0.81,0.72,0.07,0.13,0.05,0.32,0.25,0.29,0.26,0.13,0.12,0.07,0.11,0.07,0.07,0.35,0.13,,0.02,0.1
Greater Hartford,Age,Ages 65+,0.86,0.62,0.89,0.58,0.84,0.85,0.78,0.89,,,0.51,0.67,0.74,0.77,0.92,0.88,0.87,0.69,,0.94,0.67,0.07,0.24,0.07,0.52,0.78,0.77,0.1,0.23,0.99,0.04,0.11,0.04,0.04,0.07,,0.26,0.8,0.81,0.06,0.06,0.01,0.23,0.21,0.19,0.18,0.07,0.1,0.05,0.04,0.04,0.02,0.2,0.06,,0.03,0.06
Greater Hartford,Education,Bachelor's or higher,0.84,0.59,0.88,0.59,0.82,0.84,0.79,0.96,0.01,0,0.5,0.67,0.75,0.78,0.9,0.86,0.82,0.77,0.88,0.92,0.68,0.06,0.22,0.07,0.69,0.75,0.75,0.09,0.08,0.98,0.06,0.22,0.07,0.04,0.1,0.08,0.18,0.84,0.76,0.06,0.07,0.05,0.3,0.21,0.23,0.27,0.12,0.08,0.05,0.08,0.05,0.08,0.25,0.11,0.13,0.03,0.09
Greater Hartford,Education,High school or less,0.82,0.44,0.72,0.48,0.65,0.67,0.65,0.75,0.13,0.01,0.68,0.73,0.72,0.73,0.77,0.68,0.72,0.62,0.84,0.74,0.48,0.13,0.35,0.2,0.48,0.55,0.62,0.17,0.16,0.9,0.14,0.23,0.13,0.12,0.1,0.17,0.36,0.62,0.63,0.15,0.21,0.06,0.31,0.29,0.47,0.48,0.24,0.27,0.21,0.23,0.13,0.14,0.24,0.15,0.13,0.05,0.12
Greater Hartford,Education,Some college or Associate's,0.78,0.45,0.76,0.47,0.68,0.72,0.66,0.88,0.07,0,0.58,0.67,0.73,0.78,0.86,0.76,0.77,0.7,0.76,0.88,0.58,0.09,0.3,0.12,0.53,0.59,0.65,0.14,0.12,0.96,0.1,0.26,0.11,0.07,0.12,0.12,0.36,0.72,0.68,0.12,0.15,0.07,0.34,0.24,0.37,0.37,0.19,0.17,0.06,0.15,0.08,0.16,0.32,0.14,0.13,0.02,0.13
Greater Hartford,Income,<$15K,0.76,0.39,0.61,0.34,0.5,0.61,0.62,0.57,0.13,0.01,0.76,0.71,0.68,0.72,0.67,0.57,0.63,0.58,,0.7,0.42,0.18,0.35,0.2,0.39,0.42,0.42,0.28,0.16,0.87,0.18,0.3,0.14,,0.16,0.22,0.42,0.53,0.55,0.33,0.24,0.05,0.32,0.27,0.66,0.62,0.47,0.57,0.35,0.37,0.17,0.22,0.33,0.17,,0.08,0.2
Greater Hartford,Income,$15K-$30K,0.81,0.45,0.75,0.46,0.66,0.68,0.67,0.78,0.09,0,0.67,0.77,0.74,0.79,0.76,0.72,0.74,0.6,,0.78,0.54,0.1,0.3,0.13,0.44,0.53,0.61,0.16,0.19,0.94,0.11,0.24,0.15,,0.12,0.12,0.37,0.59,0.59,0.17,0.21,0.07,0.3,0.3,0.56,0.58,0.32,0.37,0.14,0.28,0.13,0.2,0.3,0.15,,0.08,0.17
Greater Hartford,Income,$30K-$50K,0.79,0.46,0.76,0.48,0.68,0.77,0.71,0.88,,,0.68,0.73,0.74,0.83,0.83,0.74,0.76,0.62,,0.84,0.53,0.09,0.33,0.22,0.51,0.56,0.7,0.13,0.14,0.93,0.09,0.23,0.11,,0.11,0.15,0.27,0.68,0.65,0.06,0.17,0.03,0.33,0.26,0.47,0.41,0.22,0.18,0.08,0.2,0.08,0.14,0.26,0.13,,0.01,0.07
Greater Hartford,Income,$50K-$75K,0.81,0.52,0.82,0.55,0.74,0.73,0.75,0.91,,,0.58,0.71,0.75,0.72,0.87,0.76,0.81,0.69,,0.79,0.57,0.1,0.3,0.13,0.61,0.6,0.65,0.13,0.11,0.96,0.11,0.29,0.11,0.03,0.11,0.14,0.28,0.74,0.67,0.12,0.11,0.05,0.31,0.25,0.38,0.32,0.13,0.12,0.08,0.15,0.08,0.16,0.23,0.16,,0.03,0.14
Greater Hartford,Income,$75K-$100K,0.82,0.52,0.83,0.56,0.78,0.76,0.74,0.96,,,0.54,0.67,0.69,0.81,0.88,0.82,0.78,0.76,,0.91,0.62,0.07,0.27,0.08,0.65,0.7,0.72,0.11,0.1,0.98,0.09,0.24,0.11,0.21,0.11,,0.28,0.81,0.76,0.05,0.09,0.06,0.3,0.25,0.25,0.28,0.1,0.06,0.02,0.08,0.06,0.1,0.35,0.11,,0.01,0.08
Greater Hartford,Income,$100K-$200K,0.84,0.58,0.84,0.65,0.85,0.84,0.77,0.98,,,0.44,0.6,0.75,0.74,0.93,0.85,0.82,0.81,,0.94,0.72,0.06,0.2,0.06,0.69,0.77,0.77,0.08,0.05,0.99,0.06,0.24,0.05,0.01,0.08,,0.22,0.87,0.78,0.05,0.06,0.07,0.33,0.21,0.13,0.24,0.09,0.04,0.02,0.02,0.04,0.04,0.28,0.13,,0.01,0.1
Greater Hartford,Income,$200K+,0.88,0.64,0.95,0.64,0.93,0.88,0.76,0.96,,,0.46,0.66,0.79,0.76,0.98,0.95,0.92,0.87,,0.96,0.83,0.04,0.24,0.06,0.82,0.92,0.8,0.08,0.04,1,0.05,0.13,0.05,,,,0.17,0.91,0.88,0.02,0.09,0.12,0.36,0.14,0.03,0.13,0.02,,0.03,0.03,0.04,0.05,0.17,0.07,,0.07,0.04
Greater Hartford,Race/Ethnicity,White,0.84,0.56,0.87,0.57,0.8,0.82,0.73,0.92,0.09,0,0.5,0.63,0.74,0.75,0.9,0.83,0.82,0.75,,0.91,0.64,0.05,0.23,0.08,0.6,0.69,0.71,0.11,0.1,0.97,0.08,0.24,0.08,,0.1,0.1,0.25,0.76,0.74,0.09,0.12,0.06,0.35,0.27,0.28,0.31,0.14,0.11,0.06,0.11,0.06,0.07,0.26,0.11,,0.02,0.1
Greater Hartford,Race/Ethnicity,Black,0.78,0.35,0.64,0.38,0.57,0.58,0.71,0.73,0.07,0.01,0.77,0.84,0.76,0.8,0.71,0.67,0.69,0.61,,0.8,0.5,0.19,0.41,0.25,0.53,0.55,0.63,0.14,0.15,0.9,0.1,0.23,0.14,,0.11,0.13,0.34,0.74,0.58,0.13,0.16,0.05,0.23,0.15,0.53,0.45,0.32,0.23,0.12,0.23,0.15,0.23,0.3,0.24,,0.07,0.12
Greater Hartford,Race/Ethnicity,Latino,0.82,0.42,0.62,0.42,0.55,0.6,0.7,0.79,0.06,0.01,0.79,0.8,0.73,0.82,0.67,0.64,0.68,0.59,,0.75,0.56,0.2,0.4,0.29,0.59,0.57,0.6,0.22,0.08,0.89,0.16,0.26,0.17,,0.19,0.22,0.39,0.71,0.61,0.19,0.16,0.08,0.31,0.22,0.45,0.49,0.27,0.32,0.25,0.29,0.12,0.2,0.2,0.17,,0.09,0.2
Greater Hartford,With children,No children in household,0.81,0.52,0.81,0.51,0.74,0.77,0.71,0.88,0.05,0.01,0.54,0.65,0.72,0.74,0.87,0.79,0.8,0.71,0.83,0.87,0.59,0.07,0.26,0.11,0.57,0.66,0.7,0.12,0.13,0.96,0.07,0.2,0.07,0.08,0.1,0.09,0.26,0.76,0.73,0.1,0.12,0.04,0.28,0.25,0.29,0.32,0.16,0.18,0.09,0.11,0.06,0.07,0.26,0.11,0.12,0.03,0.1
Greater Hartford,With children,Children in household,0.83,0.52,0.78,0.57,0.76,0.74,0.76,0.9,0.1,0,0.6,0.72,0.75,0.8,0.84,0.8,0.77,0.72,0.85,0.86,0.63,0.11,0.28,0.14,0.63,0.64,0.67,0.13,0.06,0.95,0.13,0.29,0.13,0.06,0.12,0.15,0.3,0.74,0.65,0.12,0.14,0.07,0.36,0.24,0.38,0.4,0.19,0.1,0.09,0.19,0.1,0.21,0.28,0.15,0.14,0.04,0.13
Greater New Haven,Connecticut,Connecticut,0.82,0.51,0.78,0.5,0.75,0.75,0.72,0.88,0.07,0.02,0.54,0.61,0.63,0.7,0.85,0.78,0.77,0.7,0.84,0.88,0.59,0.08,0.29,0.11,0.59,0.67,0.7,0.12,0.1,0.95,0.09,0.23,0.09,0.07,0.11,0.12,0.26,0.74,0.71,0.09,0.14,0.06,0.31,0.24,0.33,0.33,0.17,0.15,0.09,0.13,0.08,0.1,0.27,0.11,0.1,0.04,0.1
Greater New Haven,Total,Total,0.82,0.48,0.75,0.49,0.73,0.7,0.73,0.86,0.04,0.04,0.61,0.68,0.7,0.72,0.83,0.77,0.79,0.67,0.87,0.86,0.56,0.09,0.28,0.12,0.58,0.66,0.67,0.14,0.09,0.95,0.09,0.22,0.09,0.07,0.11,0.12,0.26,0.72,0.69,0.11,0.16,0.08,0.31,0.25,0.34,0.33,0.18,0.19,0.11,0.13,0.09,0.1,0.28,0.12,0.09,0.05,0.1
Greater New Haven,Gender,Male,0.82,0.47,0.76,0.49,0.72,0.73,0.73,0.87,0.02,0.02,0.64,0.7,0.73,0.75,0.86,0.76,0.8,0.71,0.86,0.88,0.56,0.07,0.28,0.11,0.6,0.66,0.69,0.14,0.1,0.93,0.08,0.19,0.08,0.07,0.09,0.14,0.23,0.69,0.7,0.11,0.17,0.09,0.3,0.25,0.29,0.27,0.14,0.19,0.11,0.12,0.08,0.07,0.25,0.18,0.09,0.05,0.09
Greater New Haven,Gender,Female,0.82,0.49,0.75,0.49,0.72,0.7,0.71,0.86,0.05,0.04,0.59,0.66,0.67,0.69,0.81,0.75,0.77,0.63,0.87,0.85,0.56,0.1,0.29,0.15,0.57,0.66,0.66,0.13,0.09,0.96,0.09,0.24,0.1,0.07,0.13,0.1,0.28,0.76,0.7,0.12,0.14,0.07,0.33,0.24,0.38,0.39,0.22,0.18,0.1,0.14,0.09,0.12,0.31,0.07,0.1,0.05,0.11
Greater New Haven,Age,Ages 18-34,0.83,0.42,0.67,0.49,0.66,0.63,0.75,0.82,0.03,0,0.74,0.73,0.74,0.73,0.75,0.7,0.73,0.64,,0.81,0.57,0.11,0.32,0.15,0.62,0.58,0.62,0.19,0.02,0.92,0.11,0.27,0.1,0.09,0.14,0.21,0.27,0.66,0.61,0.17,0.19,0.14,0.35,0.23,0.42,0.42,0.21,0.25,0.17,0.18,0.11,0.13,0.23,0.12,,0.03,0.11
Greater New Haven,Age,Ages 35-49,0.82,0.48,0.74,0.5,0.72,0.69,0.71,0.89,0.08,0.12,0.63,0.7,0.7,0.74,0.81,0.77,0.77,0.71,,0.87,0.57,0.1,0.27,0.12,0.58,0.62,0.62,0.16,0.05,0.95,0.11,0.25,0.11,0.09,0.12,0.16,0.28,0.7,0.64,0.12,0.18,0.07,0.34,0.27,0.41,0.35,0.28,0.16,0.11,0.2,0.13,0.14,0.36,0.17,,0.05,0.12
Greater New Haven,Age,Ages 50-64,0.82,0.44,0.78,0.46,0.73,0.71,0.68,0.88,,,0.54,0.62,0.66,0.72,0.86,0.77,0.8,0.73,,0.85,0.55,0.08,0.24,0.11,0.61,0.74,0.7,0.1,0.11,0.97,0.08,0.23,0.11,0.07,0.1,,0.24,0.78,0.72,0.09,0.17,0.09,0.34,0.3,0.32,0.31,0.08,0.13,0.07,0.1,0.07,0.11,0.35,0.14,,0.09,0.12
Greater New Haven,Age,Ages 65+,0.84,0.6,0.85,0.51,0.8,0.82,0.72,0.88,,,0.51,0.66,0.67,0.69,0.9,0.82,0.87,0.62,,0.9,0.53,0.07,0.3,0.11,0.5,0.73,0.74,0.08,0.23,0.97,0.04,0.12,0.04,0.03,0.08,,0.25,0.76,0.81,0.06,0.09,0.01,0.24,0.23,0.21,0.23,0.12,,0.05,0.05,0.03,0.03,0.2,0.07,,0.04,0.04
Greater New Haven,Education,Bachelor's or higher,0.88,0.54,0.79,0.51,0.79,0.76,0.78,0.94,0.02,0.02,0.58,0.66,0.71,0.74,0.89,0.82,0.84,0.72,0.91,0.91,0.6,0.04,0.23,0.07,0.67,0.74,0.73,0.1,0.08,0.97,0.07,0.19,0.05,0.08,0.08,0.11,0.19,0.79,0.76,0.06,0.09,0.05,0.29,0.2,0.23,0.23,0.16,0.11,0.04,0.07,0.06,0.06,0.28,0.1,0.11,0.05,0.09
Greater New Haven,Education,High school or less,0.78,0.39,0.66,0.45,0.62,0.64,0.64,0.76,0.04,0.06,0.68,0.71,0.68,0.65,0.76,0.71,0.72,0.59,0.72,0.79,0.52,0.19,0.37,0.22,0.47,0.59,0.63,0.18,0.13,0.93,0.12,0.23,0.12,0.06,0.13,0.14,0.33,0.64,0.6,0.17,0.25,0.13,0.33,0.28,0.45,0.43,0.2,0.33,0.27,0.19,0.11,0.16,0.2,0.14,0.05,0.05,0.1
Greater New Haven,Education,Some college or Associate's,0.77,0.46,0.77,0.49,0.69,0.68,0.71,0.85,0.06,0.03,0.6,0.7,0.69,0.73,0.79,0.7,0.77,0.67,0.9,0.83,0.51,0.1,0.32,0.13,0.54,0.59,0.61,0.17,0.1,0.93,0.09,0.25,0.11,0.06,0.14,0.11,0.3,0.69,0.67,0.14,0.19,0.09,0.33,0.29,0.42,0.43,0.21,0.22,0.08,0.19,0.1,0.1,0.36,0.15,0.11,0.05,0.11
Greater New Haven,Income,<$15K,0.73,0.4,0.57,0.36,0.54,0.58,0.58,0.54,,,0.72,0.73,0.68,0.61,0.67,0.61,0.66,0.51,,0.63,0.48,0.27,0.48,0.31,0.4,0.5,0.54,0.24,0.16,0.9,0.17,0.24,0.18,0.12,,,0.41,0.55,0.58,0.27,0.27,0.09,0.28,0.24,0.6,0.61,0.32,,0.41,0.33,0.15,0.14,0.32,0.17,,0.07,0.12
Greater New Haven,Income,$15K-$30K,0.73,0.39,0.59,0.33,0.6,0.63,0.68,0.74,,,0.69,0.76,0.68,0.69,0.68,0.63,0.67,0.54,,0.77,0.38,0.16,0.42,0.23,0.44,0.48,0.57,0.18,0.16,0.91,0.15,0.28,0.12,0.01,,,0.37,0.58,0.59,0.15,0.17,0.06,0.31,0.25,0.6,0.47,0.33,,0.15,0.26,0.15,0.22,0.34,0.11,,0.06,0.12
Greater New Haven,Income,$30K-$50K,0.84,0.47,0.73,0.43,0.69,0.7,0.66,0.87,,,0.73,0.78,0.71,0.73,0.77,0.67,0.76,0.63,,0.85,0.62,0.13,0.31,0.15,0.47,0.55,0.59,0.14,0.11,0.93,0.12,0.27,0.11,0.15,,,0.33,0.65,0.61,0.14,0.2,0.13,0.42,0.27,0.47,0.42,0.29,,0.12,0.21,0.12,0.16,0.32,0.1,,0.04,0.14
Greater New Haven,Income,$50K-$75K,0.85,0.54,0.78,0.48,0.76,0.74,0.76,0.89,,,0.59,0.69,0.74,0.76,0.86,0.8,0.82,0.69,,0.81,0.51,0.08,0.28,0.08,0.61,0.65,0.7,0.15,0.07,0.95,0.06,0.2,0.09,0.04,,,0.22,0.73,0.64,0.09,0.13,0.08,0.3,0.26,0.32,0.32,0.22,,0.08,0.12,0.07,0.09,0.21,0.11,,0.04,0.12
Greater New Haven,Income,$75K-$100K,0.83,0.47,0.79,0.61,0.77,0.73,0.73,0.93,,,0.6,0.69,0.73,0.71,0.88,0.79,0.81,0.66,,0.95,0.58,0.03,0.27,0.07,0.64,0.67,0.67,0.08,0.07,0.97,0.07,0.24,0.08,0.09,,,0.21,0.75,0.68,0.1,0.13,0.12,0.32,0.24,0.26,0.22,0.14,,0.03,0.06,0.08,0.08,0.23,0.13,,0.04,0.07
Greater New Haven,Income,$100K-$200K,0.86,0.58,0.83,0.6,0.81,0.78,0.8,0.99,,,0.56,0.63,0.69,0.78,0.9,0.86,0.87,0.8,,0.92,0.71,0.01,0.12,0.03,0.72,0.83,0.77,0.11,0.04,0.98,0.03,0.16,0.05,0.02,,,0.16,0.86,0.82,0.06,0.11,0.08,0.33,0.25,0.15,0.24,0.07,,0.02,0.03,0.04,0.05,0.29,0.13,,0.03,0.06
Greater New Haven,Income,$200K+,0.91,0.58,0.9,0.64,0.87,0.83,0.78,0.96,,,0.51,0.45,0.62,0.7,0.89,0.87,0.86,0.82,,0.99,0.78,0.02,0.1,0.02,0.76,0.86,0.79,0.11,0.06,0.99,0.08,0.25,0.07,0.03,,,0.16,0.92,0.9,0.05,,,,,0.08,0.09,0.02,,0.02,0.06,0.06,0.02,0.21,0.08,,0.08,
Greater New Haven,Race/Ethnicity,White,0.84,0.52,0.83,0.52,0.79,0.74,0.74,0.9,0.04,0.03,0.55,0.64,0.67,0.72,0.86,0.81,0.8,0.72,,0.89,0.57,0.04,0.23,0.07,0.61,0.67,0.69,0.13,0.09,0.96,0.07,0.22,0.08,0.03,0.1,,0.23,0.75,0.73,0.1,0.15,0.09,0.35,0.29,0.32,0.32,0.15,0.14,0.07,0.09,0.07,0.09,0.27,0.08,,0.03,0.08
Greater New Haven,Race/Ethnicity,Black,0.78,0.31,0.6,0.39,0.58,0.62,0.71,0.79,0.02,0.06,0.77,0.82,0.77,0.72,0.7,0.64,0.79,0.6,,0.81,0.47,0.18,0.41,0.24,0.51,0.58,0.63,0.13,0.13,0.93,0.09,0.23,0.12,0.09,0.13,,0.33,0.7,0.61,0.12,0.19,0.04,0.18,0.12,0.42,0.43,0.27,0.26,0.18,0.2,0.12,0.14,0.35,0.23,,0.11,0.13
Greater New Haven,Race/Ethnicity,Latino,0.75,0.42,0.59,0.39,0.57,0.6,0.7,0.74,,,0.74,0.82,0.73,0.76,0.71,0.63,0.66,0.49,,0.77,0.52,0.29,0.38,0.28,0.51,0.5,0.58,0.21,0.11,0.88,0.18,0.26,0.19,0.37,,,0.36,0.72,0.57,0.22,,0.09,0.32,0.2,0.47,0.52,0.24,,0.27,0.38,0.18,0.2,0.3,0.2,,0.11,0.18
Greater New Haven,With children,No children in household,0.82,0.49,0.77,0.48,0.74,0.72,0.71,0.86,0.03,0.02,0.59,0.67,0.69,0.71,0.83,0.77,0.79,0.68,0.86,0.85,0.52,0.09,0.3,0.12,0.57,0.66,0.68,0.13,0.12,0.95,0.08,0.22,0.07,0.07,0.1,0.11,0.25,0.72,0.71,0.11,0.15,0.07,0.29,0.25,0.32,0.31,0.16,0.2,0.1,0.12,0.07,0.08,0.25,0.11,0.08,0.05,0.1
